NB_GPUs,GBS,Model,Time(%),Time(ms),Calls,Avg(ms),Min(ms),Max(ms)
1,64,MolGCN,0.49,779.98,491860.0,0.002,0.001,0.016
1,64,MolGCN,0.49,779.43,491860.0,0.002,0.001,0.014
1,64,MolGCN,0.49,778.24,491860.0,0.002,0.001,0.015
1,64,MolGCN,0.49,780.31,491860.0,0.002,0.001,0.015
1,64,MolGCN,0.49,780.42,491860.0,0.002,0.001,0.015
1,64,MolGCN,0.49,780.07,491860.0,0.002,0.001,0.015
1,64,MolGCN,0.49,779.9,491860.0,0.002,0.001,0.016
1,64,MolGCN,0.49,779.27,491860.0,0.002,0.001,0.014
1,64,MolGCN,0.49,779.35,491860.0,0.002,0.001,0.014
1,64,MolGCN,0.49,773.73,491860.0,0.002,0.001,0.015
1,128,MolGCN,0.28,370.59,248660.0,0.001,0.001,0.014
1,128,MolGCN,0.28,370.08,248660.0,0.001,0.001,0.013
1,128,MolGCN,0.28,370.25,248660.0,0.001,0.001,0.014
1,128,MolGCN,0.28,370.02,248660.0,0.001,0.001,0.011
1,128,MolGCN,0.28,370.47,248660.0,0.001,0.001,0.013
1,128,MolGCN,0.28,370.45,248660.0,0.001,0.001,0.014
1,128,MolGCN,0.28,369.92,248660.0,0.001,0.001,0.014
1,128,MolGCN,0.28,370.03,248660.0,0.001,0.001,0.012
1,128,MolGCN,0.28,370.15,248660.0,0.001,0.001,0.015
1,128,MolGCN,0.28,370.39,248660.0,0.001,0.001,0.013
1,256,MolGCN,0.16,190.84,127060.0,0.002,0.001,0.013
1,256,MolGCN,0.16,190.75,127060.0,0.002,0.001,0.013
1,256,MolGCN,0.16,190.88,127060.0,0.002,0.001,0.012
1,256,MolGCN,0.16,190.87,127060.0,0.002,0.001,0.011
1,256,MolGCN,0.16,191.23,127060.0,0.002,0.001,0.013
1,256,MolGCN,0.16,190.82,127060.0,0.002,0.001,0.014
1,256,MolGCN,0.16,191.27,127060.0,0.002,0.001,0.012
1,256,MolGCN,0.16,190.71,127060.0,0.002,0.001,0.015
1,256,MolGCN,0.16,191.25,127060.0,0.002,0.001,0.014
1,256,MolGCN,0.16,190.84,127060.0,0.002,0.001,0.014
2,64,MolGCN,0.41,707.405,481794.0,0.001,0.001,0.016
2,64,MolGCN,0.405,706.63,481794.0,0.001,0.001,0.016
2,64,MolGCN,0.395,705.195,481794.0,0.001,0.001,0.016
2,64,MolGCN,0.39,708.09,481794.0,0.001,0.001,0.016
2,64,MolGCN,0.385,705.625,481794.0,0.001,0.001,0.016
2,64,MolGCN,0.385,706.775,481794.0,0.001,0.001,0.016
2,64,MolGCN,0.4,707.235,481794.0,0.001,0.001,0.018
2,64,MolGCN,0.4,707.05,481794.0,0.001,0.001,0.016
2,64,MolGCN,0.405,705.2,481794.0,0.001,0.001,0.016
2,64,MolGCN,0.385,706.26,481794.0,0.001,0.001,0.016
2,128,MolGCN,0.3,358.62,242394.0,0.001,0.001,0.016
2,128,MolGCN,0.31,358.005,242394.0,0.001,0.001,0.016
2,128,MolGCN,0.3,357.98,242394.0,0.001,0.001,0.017
2,128,MolGCN,0.3,358.375,242394.0,0.001,0.001,0.016
2,128,MolGCN,0.295,358.21,242394.0,0.001,0.001,0.016
2,128,MolGCN,0.31,356.935,242394.0,0.001,0.001,0.016
2,128,MolGCN,0.305,358.28,242394.0,0.001,0.001,0.016
2,128,MolGCN,0.305,359.155,242394.0,0.001,0.001,0.016
2,128,MolGCN,0.305,358.3,242394.0,0.001,0.001,0.015
2,128,MolGCN,0.29,358.03,242394.0,0.001,0.001,0.016
2,256,MolGCN,0.2,184.895,122694.0,0.002,0.001,0.016
2,256,MolGCN,0.185,185.245,122694.0,0.002,0.001,0.016
2,256,MolGCN,0.22,184.1,122694.0,0.001,0.001,0.016
2,256,MolGCN,0.21,184.45,122694.0,0.002,0.001,0.017
2,256,MolGCN,0.215,184.41,122694.0,0.002,0.001,0.016
2,256,MolGCN,0.215,184.615,122694.0,0.002,0.001,0.016
2,256,MolGCN,0.22,184.395,122694.0,0.002,0.001,0.015
2,256,MolGCN,0.21,184.335,122694.0,0.002,0.001,0.016
2,256,MolGCN,0.215,184.365,122694.0,0.002,0.001,0.015
2,256,MolGCN,0.22,184.21,122694.0,0.002,0.001,0.016
2,512,MolGCN,0.135,95.085,62844.0,0.002,0.001,0.015
2,512,MolGCN,0.14,94.672,62844.0,0.002,0.001,0.016
2,512,MolGCN,0.14,94.622,62844.0,0.002,0.001,0.015
2,512,MolGCN,0.145,94.656,62844.0,0.002,0.001,0.016
2,512,MolGCN,0.135,95.122,62844.0,0.002,0.001,0.016
2,512,MolGCN,0.13,94.849,62844.0,0.002,0.001,0.015
2,512,MolGCN,0.135,94.92,62844.0,0.002,0.001,0.016
2,512,MolGCN,0.14,95.025,62844.0,0.002,0.001,0.016
2,512,MolGCN,0.14,94.621,62844.0,0.002,0.001,0.015
2,512,MolGCN,0.14,95.078,62844.0,0.002,0.001,0.015
4,64,MolGCN,0.283,695.868,476762.5,0.001,0.001,0.016
4,64,MolGCN,0.27,695.15,476762.5,0.001,0.001,0.017
4,64,MolGCN,0.28,695.63,476762.5,0.001,0.001,0.016
4,64,MolGCN,0.275,697.17,476762.5,0.001,0.001,0.019
4,64,MolGCN,0.285,697.168,476762.5,0.001,0.001,0.017
4,64,MolGCN,0.28,696.715,476762.5,0.001,0.001,0.017
4,64,MolGCN,0.288,695.26,476762.5,0.001,0.001,0.017
4,64,MolGCN,0.272,696.728,476762.5,0.001,0.001,0.016
4,64,MolGCN,0.282,694.968,476762.5,0.001,0.001,0.016
4,64,MolGCN,0.275,696.288,476762.5,0.001,0.001,0.016
4,128,MolGCN,0.26,348.638,239262.5,0.001,0.001,0.016
4,128,MolGCN,0.252,348.405,239262.5,0.001,0.001,0.016
4,128,MolGCN,0.27,348.0,239262.5,0.001,0.001,0.016
4,128,MolGCN,0.252,348.602,239262.5,0.001,0.001,0.016
4,128,MolGCN,0.26,348.118,239262.5,0.001,0.001,0.016
4,128,MolGCN,0.252,348.972,239262.5,0.001,0.001,0.016
4,128,MolGCN,0.242,348.712,239262.5,0.001,0.001,0.016
