NB_GPUs,GBS,Model,Time(%),Time(ms),Calls,Avg(ms),Min(ms),Max(ms)
1,64,MolGCN,10.21,16159.8,76203.0,0.212,0.001,21.726
1,64,MolGCN,10.28,16280.8,76203.0,0.214,0.001,3.653
1,64,MolGCN,10.34,16356.6,76203.0,0.215,0.001,22.374
1,64,MolGCN,10.33,16371.2,76203.0,0.215,0.001,17.705
1,64,MolGCN,10.22,16177.6,76203.0,0.212,0.001,22.903
1,64,MolGCN,10.21,16170.3,76203.0,0.212,0.001,22.696
1,64,MolGCN,10.18,16097.3,76203.0,0.211,0.001,20.949
1,64,MolGCN,10.19,16138.7,76203.0,0.212,0.001,4.035
1,64,MolGCN,10.14,16046.4,76203.0,0.211,0.001,22.735
1,64,MolGCN,10.16,15950.9,76203.0,0.209,0.001,21.749
1,128,MolGCN,13.58,17659.0,38203.0,0.462,0.001,23.397
1,128,MolGCN,13.57,17656.3,38203.0,0.462,0.001,23.175
1,128,MolGCN,13.6,17699.8,38203.0,0.463,0.001,23.556
1,128,MolGCN,13.55,17623.1,38203.0,0.461,0.001,22.977
1,128,MolGCN,13.64,17761.2,38203.0,0.465,0.001,32.082
1,128,MolGCN,13.64,17762.2,38203.0,0.465,0.001,24.672
1,128,MolGCN,13.7,17861.1,38203.0,0.468,0.001,23.288
1,128,MolGCN,13.66,17796.3,38203.0,0.466,0.001,32.372
1,128,MolGCN,13.7,17858.3,38203.0,0.467,0.001,24.381
1,128,MolGCN,13.69,17850.7,38203.0,0.467,0.001,24.366
1,256,MolGCN,15.08,18152.8,19203.0,0.945,0.001,26.155
1,256,MolGCN,15.14,18235.2,19203.0,0.95,0.001,25.321
1,256,MolGCN,15.2,18316.4,19203.0,0.954,0.001,26.196
1,256,MolGCN,15.41,18616.7,19203.0,0.969,0.001,49.565
1,256,MolGCN,15.24,18378.2,19203.0,0.957,0.001,26.028
1,256,MolGCN,15.26,18395.8,19203.0,0.958,0.001,25.803
1,256,MolGCN,15.07,18127.6,19203.0,0.944,0.001,26.142
1,256,MolGCN,15.13,18219.2,19203.0,0.949,0.001,27.259
1,256,MolGCN,15.25,18391.0,19203.0,0.958,0.001,29.43
1,256,MolGCN,15.17,18279.1,19203.0,0.952,0.001,25.682
2,64,MolGCN,3.795,6599.895,76177.0,0.087,0.001,17.018
2,64,MolGCN,3.81,6644.82,76177.0,0.087,0.001,15.554
2,64,MolGCN,3.615,6460.675,76177.0,0.085,0.001,6.552
2,64,MolGCN,3.625,6526.31,76177.0,0.086,0.001,3.891
2,64,MolGCN,3.51,6412.615,76177.0,0.084,0.001,13.163
2,64,MolGCN,3.575,6624.04,76177.0,0.087,0.001,3.583
2,64,MolGCN,3.77,6680.315,76177.0,0.088,0.001,4.026
2,64,MolGCN,3.725,6585.63,76177.0,0.086,0.001,4.067
2,64,MolGCN,3.75,6592.025,76177.0,0.087,0.001,12.261
2,64,MolGCN,3.72,6773.635,76177.0,0.089,0.001,14.026
2,128,MolGCN,6.91,8253.765,38177.0,0.216,0.001,22.154
2,128,MolGCN,6.985,8093.555,38177.0,0.212,0.001,30.097
2,128,MolGCN,6.97,8309.89,38177.0,0.218,0.001,22.904
2,128,MolGCN,6.835,8253.36,38177.0,0.216,0.001,26.38
2,128,MolGCN,6.975,8360.395,38177.0,0.219,0.001,25.056
2,128,MolGCN,6.795,7751.365,38177.0,0.203,0.001,13.409
2,128,MolGCN,6.96,8127.445,38177.0,0.213,0.001,14.111
2,128,MolGCN,7.09,8194.955,38177.0,0.215,0.001,21.488
2,128,MolGCN,7.125,8250.37,38177.0,0.216,0.001,30.364
2,128,MolGCN,6.15,7737.925,38177.0,0.203,0.001,21.634
2,256,MolGCN,10.225,9451.455,19177.0,0.493,0.001,28.136
2,256,MolGCN,9.445,9373.98,19177.0,0.489,0.001,27.654
2,256,MolGCN,10.5,8918.425,19177.0,0.465,0.001,22.072
2,256,MolGCN,10.57,9300.205,19177.0,0.485,0.001,31.659
2,256,MolGCN,11.11,9566.86,19177.0,0.499,0.001,55.714
2,256,MolGCN,11.015,9431.895,19177.0,0.492,0.001,31.011
2,256,MolGCN,10.945,9348.715,19177.0,0.487,0.001,29.71
2,256,MolGCN,10.86,9396.265,19177.0,0.49,0.001,26.108
2,256,MolGCN,10.82,9270.81,19177.0,0.483,0.001,28.388
2,256,MolGCN,11.135,9459.59,19177.0,0.493,0.001,30.884
2,512,MolGCN,14.725,10414.52,9677.0,1.076,0.001,28.881
2,512,MolGCN,12.71,8606.785,9677.0,0.889,0.001,23.534
2,512,MolGCN,12.875,8657.825,9677.0,0.895,0.001,23.908
2,512,MolGCN,12.86,8632.13,9677.0,0.892,0.001,24.964
2,512,MolGCN,14.545,10066.805,9677.0,1.04,0.001,32.089
2,512,MolGCN,13.83,9843.795,9677.0,1.017,0.001,36.521
2,512,MolGCN,14.34,10049.92,9677.0,1.039,0.001,61.014
2,512,MolGCN,13.785,9451.73,9677.0,0.977,0.001,15.155
2,512,MolGCN,12.795,8581.9,9677.0,0.887,0.001,21.435
2,512,MolGCN,14.765,10347.605,9677.0,1.069,0.001,28.842
4,64,MolGCN,1.07,2635.385,76209.0,0.035,0.001,0.948
