NB_GPUs,GBS,Model,Time(%),Time(ms),Calls,Avg(ms),Min(ms),Max(ms)
1,64,MolAttentiveFP_EA,0.87,2647.08,974060.0,0.003,0.002,0.017
1,64,MolAttentiveFP_EA,0.87,2647.15,974060.0,0.003,0.002,0.019
1,64,MolAttentiveFP_EA,0.87,2657.23,974060.0,0.003,0.002,0.017
1,64,MolAttentiveFP_EA,0.87,2662.54,974060.0,0.003,0.002,0.017
1,64,MolAttentiveFP_EA,0.87,2648.92,974060.0,0.003,0.002,0.017
1,64,MolAttentiveFP_EA,0.87,2645.89,974060.0,0.003,0.002,0.02
1,64,MolAttentiveFP_EA,0.87,2650.92,974060.0,0.003,0.002,0.018
1,64,MolAttentiveFP_EA,0.87,2643.51,974060.0,0.003,0.002,0.019
1,64,MolAttentiveFP_EA,0.87,2665.81,974060.0,0.003,0.002,0.024
1,64,MolAttentiveFP_EA,0.87,2656.46,974060.0,0.003,0.002,0.021
1,128,MolAttentiveFP_EA,0.51,1324.07,487660.0,0.003,0.002,0.017
1,128,MolAttentiveFP_EA,0.51,1333.4,487660.0,0.003,0.002,0.018
1,128,MolAttentiveFP_EA,0.51,1324.46,487660.0,0.003,0.002,0.017
1,128,MolAttentiveFP_EA,0.51,1328.44,487660.0,0.003,0.002,0.017
1,128,MolAttentiveFP_EA,0.51,1323.86,487660.0,0.003,0.002,0.017
1,128,MolAttentiveFP_EA,0.51,1323.74,487660.0,0.003,0.002,0.017
1,128,MolAttentiveFP_EA,0.51,1324.45,487660.0,0.003,0.002,0.017
1,128,MolAttentiveFP_EA,0.51,1324.52,487660.0,0.003,0.002,0.02
1,128,MolAttentiveFP_EA,0.51,1328.08,487660.0,0.003,0.002,0.017
1,128,MolAttentiveFP_EA,0.51,1329.15,487660.0,0.003,0.002,0.017
1,256,MolAttentiveFP_EA,0.28,668.52,244460.0,0.003,0.002,0.017
1,256,MolAttentiveFP_EA,0.28,664.01,244460.0,0.003,0.002,0.016
1,256,MolAttentiveFP_EA,0.28,663.74,244460.0,0.003,0.002,0.016
1,256,MolAttentiveFP_EA,0.28,663.79,244460.0,0.003,0.002,0.017
1,256,MolAttentiveFP_EA,0.28,665.56,244460.0,0.003,0.002,0.017
1,256,MolAttentiveFP_EA,0.28,663.97,244460.0,0.003,0.002,0.017
1,256,MolAttentiveFP_EA,0.28,664.06,244460.0,0.003,0.002,0.016
1,256,MolAttentiveFP_EA,0.28,664.18,244460.0,0.003,0.002,0.016
1,256,MolAttentiveFP_EA,0.28,664.2,244460.0,0.003,0.002,0.016
1,256,MolAttentiveFP_EA,0.28,662.28,244460.0,0.003,0.002,0.017
2,64,MolAttentiveFP_EA,0.805,2504.185,974059.0,0.003,0.002,0.029
2,64,MolAttentiveFP_EA,0.765,2500.52,974059.0,0.003,0.002,0.023
2,64,MolAttentiveFP_EA,0.785,2502.87,974059.0,0.003,0.002,0.03
2,64,MolAttentiveFP_EA,0.76,2494.05,974059.0,0.003,0.002,0.028
2,64,MolAttentiveFP_EA,0.79,2502.335,974059.0,0.003,0.002,0.027
2,64,MolAttentiveFP_EA,0.78,2494.8,974059.0,0.003,0.002,0.021
2,64,MolAttentiveFP_EA,0.745,2495.75,974059.0,0.003,0.002,0.028
2,64,MolAttentiveFP_EA,0.785,2499.2,974059.0,0.003,0.002,0.029
2,64,MolAttentiveFP_EA,0.805,2499.79,974059.0,0.003,0.002,0.027
2,64,MolAttentiveFP_EA,0.77,2500.705,974059.0,0.003,0.002,0.02
2,128,MolAttentiveFP_EA,0.6,1265.445,487659.0,0.003,0.002,0.018
2,128,MolAttentiveFP_EA,0.585,1255.67,487659.0,0.003,0.002,0.027
2,128,MolAttentiveFP_EA,0.59,1274.01,487659.0,0.003,0.002,0.023
2,128,MolAttentiveFP_EA,0.585,1265.59,487659.0,0.003,0.002,0.021
2,128,MolAttentiveFP_EA,0.595,1257.315,487659.0,0.003,0.002,0.017
2,128,MolAttentiveFP_EA,0.575,1266.33,487659.0,0.003,0.002,0.022
2,128,MolAttentiveFP_EA,0.585,1266.615,487659.0,0.003,0.002,0.018
2,128,MolAttentiveFP_EA,0.585,1263.085,487659.0,0.003,0.002,0.018
2,128,MolAttentiveFP_EA,0.585,1265.815,487659.0,0.003,0.002,0.018
2,128,MolAttentiveFP_EA,0.595,1260.575,487659.0,0.003,0.002,0.03
2,256,MolAttentiveFP_EA,0.395,631.385,244459.0,0.003,0.002,0.024
2,256,MolAttentiveFP_EA,0.39,630.48,244459.0,0.003,0.002,0.023
2,256,MolAttentiveFP_EA,0.41,630.75,244459.0,0.003,0.002,0.018
2,256,MolAttentiveFP_EA,0.4,630.735,244459.0,0.003,0.002,0.024
2,256,MolAttentiveFP_EA,0.4,630.75,244459.0,0.003,0.002,0.02
2,256,MolAttentiveFP_EA,0.405,630.935,244459.0,0.003,0.002,0.021
2,256,MolAttentiveFP_EA,0.395,630.275,244459.0,0.003,0.002,0.019
2,256,MolAttentiveFP_EA,0.4,631.805,244459.0,0.003,0.002,0.018
2,256,MolAttentiveFP_EA,0.4,630.92,244459.0,0.003,0.002,0.023
2,256,MolAttentiveFP_EA,0.415,632.28,244459.0,0.003,0.002,0.017
2,512,MolAttentiveFP_EA,0.245,319.325,122859.0,0.003,0.002,0.017
2,512,MolAttentiveFP_EA,0.25,319.585,122859.0,0.003,0.002,0.017
2,512,MolAttentiveFP_EA,0.25,320.765,122859.0,0.003,0.002,0.018
2,512,MolAttentiveFP_EA,0.25,321.305,122859.0,0.003,0.002,0.017
2,512,MolAttentiveFP_EA,0.245,320.035,122859.0,0.003,0.002,0.019
2,512,MolAttentiveFP_EA,0.255,319.965,122859.0,0.003,0.002,0.017
2,512,MolAttentiveFP_EA,0.245,320.905,122859.0,0.003,0.002,0.018
2,512,MolAttentiveFP_EA,0.245,318.225,122859.0,0.003,0.002,0.018
2,512,MolAttentiveFP_EA,0.255,321.075,122859.0,0.003,0.002,0.018
2,512,MolAttentiveFP_EA,0.25,318.765,122859.0,0.003,0.002,0.017
4,64,MolAttentiveFP_EA,0.63,2517.115,974063.0,0.003,0.002,0.025
4,64,MolAttentiveFP_EA,0.642,2525.127,974063.0,0.003,0.002,0.029
4,64,MolAttentiveFP_EA,0.642,2516.645,974063.0,0.003,0.002,0.028
4,64,MolAttentiveFP_EA,0.65,2517.945,974063.0,0.003,0.002,0.029
4,64,MolAttentiveFP_EA,0.648,2523.49,974063.0,0.003,0.002,0.029
4,64,MolAttentiveFP_EA,0.648,2521.652,974063.0,0.003,0.002,0.026
