NB_GPUs,GBS,Model,Time(%),Time(ms),Calls,Avg(ms),Min(ms),Max(ms)
1,64,MolAttentiveFP_EA,0.1,298.61,192022.0,0.002,0.001,0.012
1,64,MolAttentiveFP_EA,0.1,298.74,192022.0,0.002,0.001,0.015
1,64,MolAttentiveFP_EA,0.1,298.5,192022.0,0.002,0.001,0.012
1,64,MolAttentiveFP_EA,0.1,298.31,192022.0,0.002,0.001,0.015
1,64,MolAttentiveFP_EA,0.1,298.59,192022.0,0.002,0.001,0.013
1,64,MolAttentiveFP_EA,0.1,299.38,192022.0,0.002,0.001,0.015
1,64,MolAttentiveFP_EA,0.1,299.35,192022.0,0.002,0.001,0.015
1,64,MolAttentiveFP_EA,0.1,299.23,192022.0,0.002,0.001,0.015
1,64,MolAttentiveFP_EA,0.1,298.13,192022.0,0.002,0.001,0.014
1,64,MolAttentiveFP_EA,0.1,299.04,192022.0,0.002,0.001,0.014
1,128,MolAttentiveFP_EA,0.06,155.86,100822.0,0.002,0.001,0.01
1,128,MolAttentiveFP_EA,0.06,155.98,100822.0,0.002,0.001,0.011
1,128,MolAttentiveFP_EA,0.06,156.54,100822.0,0.002,0.001,0.011
1,128,MolAttentiveFP_EA,0.06,155.86,100822.0,0.002,0.001,0.011
1,128,MolAttentiveFP_EA,0.06,156.0,100822.0,0.002,0.001,0.012
1,128,MolAttentiveFP_EA,0.06,155.94,100822.0,0.002,0.001,0.01
1,128,MolAttentiveFP_EA,0.06,156.46,100822.0,0.002,0.001,0.012
1,128,MolAttentiveFP_EA,0.06,155.98,100822.0,0.002,0.001,0.014
1,128,MolAttentiveFP_EA,0.06,156.01,100822.0,0.002,0.001,0.011
1,128,MolAttentiveFP_EA,0.06,156.43,100822.0,0.002,0.001,0.015
1,256,MolAttentiveFP_EA,0.04,86.194,55222.0,0.002,0.001,0.015
1,256,MolAttentiveFP_EA,0.04,85.862,55222.0,0.002,0.001,0.013
1,256,MolAttentiveFP_EA,0.04,86.245,55222.0,0.002,0.001,0.012
1,256,MolAttentiveFP_EA,0.04,85.802,55222.0,0.002,0.001,0.013
1,256,MolAttentiveFP_EA,0.04,86.112,55222.0,0.002,0.001,0.008
1,256,MolAttentiveFP_EA,0.04,85.869,55222.0,0.002,0.001,0.01
1,256,MolAttentiveFP_EA,0.04,85.848,55222.0,0.002,0.001,0.015
1,256,MolAttentiveFP_EA,0.04,86.127,55222.0,0.002,0.001,0.011
1,256,MolAttentiveFP_EA,0.04,86.134,55222.0,0.002,0.001,0.011
1,256,MolAttentiveFP_EA,0.04,86.249,55222.0,0.002,0.001,0.012
2,64,MolAttentiveFP_EA,0.09,274.635,179931.0,0.002,0.001,0.015
2,64,MolAttentiveFP_EA,0.085,274.945,179931.0,0.002,0.001,0.016
2,64,MolAttentiveFP_EA,0.09,274.985,179931.0,0.002,0.001,0.015
2,64,MolAttentiveFP_EA,0.085,274.8,179931.0,0.002,0.001,0.016
2,64,MolAttentiveFP_EA,0.09,274.49,179931.0,0.002,0.001,0.016
2,64,MolAttentiveFP_EA,0.085,273.845,179931.0,0.002,0.001,0.015
2,64,MolAttentiveFP_EA,0.08,274.45,179931.0,0.002,0.001,0.016
2,64,MolAttentiveFP_EA,0.09,274.735,179931.0,0.002,0.001,0.016
2,64,MolAttentiveFP_EA,0.085,274.765,179931.0,0.002,0.001,0.016
2,64,MolAttentiveFP_EA,0.085,274.515,179931.0,0.002,0.001,0.016
2,128,MolAttentiveFP_EA,0.07,144.555,92531.0,0.002,0.001,0.015
2,128,MolAttentiveFP_EA,0.065,143.925,92531.0,0.002,0.001,0.016
2,128,MolAttentiveFP_EA,0.07,144.585,92531.0,0.002,0.001,0.016
2,128,MolAttentiveFP_EA,0.065,144.22,92531.0,0.002,0.001,0.015
2,128,MolAttentiveFP_EA,0.07,144.145,92531.0,0.002,0.001,0.015
2,128,MolAttentiveFP_EA,0.065,144.135,92531.0,0.002,0.001,0.016
2,128,MolAttentiveFP_EA,0.065,144.67,92531.0,0.002,0.001,0.016
2,128,MolAttentiveFP_EA,0.065,144.2,92531.0,0.002,0.001,0.015
2,128,MolAttentiveFP_EA,0.065,144.595,92531.0,0.002,0.001,0.015
2,128,MolAttentiveFP_EA,0.07,144.245,92531.0,0.002,0.001,0.016
2,256,MolAttentiveFP_EA,0.05,76.426,48831.0,0.002,0.001,0.015
2,256,MolAttentiveFP_EA,0.05,76.225,48831.0,0.002,0.001,0.015
2,256,MolAttentiveFP_EA,0.05,76.208,48831.0,0.002,0.001,0.016
2,256,MolAttentiveFP_EA,0.045,76.42,48831.0,0.002,0.001,0.016
2,256,MolAttentiveFP_EA,0.05,76.467,48831.0,0.002,0.001,0.015
2,256,MolAttentiveFP_EA,0.05,76.41,48831.0,0.002,0.001,0.015
2,256,MolAttentiveFP_EA,0.05,76.215,48831.0,0.002,0.001,0.015
2,256,MolAttentiveFP_EA,0.05,76.547,48831.0,0.002,0.001,0.015
2,256,MolAttentiveFP_EA,0.05,76.42,48831.0,0.002,0.001,0.015
2,256,MolAttentiveFP_EA,0.05,76.077,48831.0,0.002,0.001,0.014
2,512,MolAttentiveFP_EA,0.035,42.52,26981.0,0.002,0.001,0.016
2,512,MolAttentiveFP_EA,0.035,42.593,26981.0,0.002,0.001,0.015
2,512,MolAttentiveFP_EA,0.035,42.57,26981.0,0.002,0.001,0.015
2,512,MolAttentiveFP_EA,0.035,42.485,26981.0,0.002,0.001,0.015
2,512,MolAttentiveFP_EA,0.035,42.585,26981.0,0.002,0.001,0.015
2,512,MolAttentiveFP_EA,0.035,42.289,26981.0,0.002,0.001,0.015
2,512,MolAttentiveFP_EA,0.035,42.55,26981.0,0.002,0.001,0.014
2,512,MolAttentiveFP_EA,0.035,42.538,26981.0,0.002,0.001,0.015
2,512,MolAttentiveFP_EA,0.035,42.344,26981.0,0.002,0.001,0.015
2,512,MolAttentiveFP_EA,0.035,42.342,26981.0,0.002,0.001,0.015
4,64,MolAttentiveFP_EA,0.068,262.16,173887.0,0.002,0.001,0.016
4,64,MolAttentiveFP_EA,0.068,262.428,173887.0,0.002,0.001,0.016
4,64,MolAttentiveFP_EA,0.065,261.655,173887.0,0.002,0.001,0.015
4,64,MolAttentiveFP_EA,0.068,261.262,173887.0,0.002,0.001,0.016
4,64,MolAttentiveFP_EA,0.07,261.625,173887.0,0.002,0.001,0.016
4,64,MolAttentiveFP_EA,0.065,261.84,173887.0,0.002,0.001,0.016
4,64,MolAttentiveFP_EA,0.068,261.722,173887.0,0.002,0.001,0.016
4,64,MolAttentiveFP_EA,0.068,262.138,173887.0,0.002,0.001,0.016
4,64,MolAttentiveFP_EA,0.07,261.942,173887.0,0.002,0.001,0.016
4,64,MolAttentiveFP_EA,0.07,262.343,173887.0,0.002,0.001,0.016
4,128,MolAttentiveFP_EA,0.06,134.29,88387.0,0.002,0.001,0.016
4,128,MolAttentiveFP_EA,0.06,134.517,88387.0,0.002,0.001,0.015
4,128,MolAttentiveFP_EA,0.062,134.068,88387.0,0.002,0.001,0.016
4,128,MolAttentiveFP_EA,0.065,134.34,88387.0,0.002,0.001,0.015
4,128,MolAttentiveFP_EA,0.062,134.162,88387.0,0.002,0.001,0.016
4,128,MolAttentiveFP_EA,0.062,134.275,88387.0,0.002,0.001,0.017
4,128,MolAttentiveFP_EA,0.06,134.43,88387.0,0.002,0.001,0.016
4,128,MolAttentiveFP_EA,0.06,134.03,88387.0,0.002,0.001,0.016
4,128,MolAttentiveFP_EA,0.065,134.075,88387.0,0.002,0.001,0.016
4,128,MolAttentiveFP_EA,0.062,134.502,88387.0,0.002,0.001,0.016
4,256,MolAttentiveFP_EA,0.055,71.203,45637.0,0.002,0.001,0.015
4,256,MolAttentiveFP_EA,0.055,71.163,45637.0,0.002,0.001,0.015
4,256,MolAttentiveFP_EA,0.05,71.052,45637.0,0.002,0.001,0.016
4,256,MolAttentiveFP_EA,0.055,70.94,45637.0,0.002,0.001,0.015
4,256,MolAttentiveFP_EA,0.055,71.026,45637.0,0.002,0.001,0.015
4,256,MolAttentiveFP_EA,0.055,71.105,45637.0,0.002,0.001,0.015
4,256,MolAttentiveFP_EA,0.052,71.045,45637.0,0.002,0.001,0.015
4,256,MolAttentiveFP_EA,0.053,70.99,45637.0,0.002,0.001,0.015
4,256,MolAttentiveFP_EA,0.053,70.978,45637.0,0.002,0.001,0.015
4,256,MolAttentiveFP_EA,0.05,70.991,45637.0,0.002,0.001,0.015
4,512,MolAttentiveFP_EA,0.045,37.956,24262.0,0.002,0.001,0.015
4,512,MolAttentiveFP_EA,0.045,37.758,24262.0,0.002,0.001,0.015
4,512,MolAttentiveFP_EA,0.042,37.882,24262.0,0.002,0.001,0.015
