NB_GPUs,GBS,Model,Time(%),Time(ms),Calls,Avg(ms),Min(ms),Max(ms)
1,64,MolAttentiveFP_EA,5.21,15921.6,76222.0,0.209,0.001,3.52
1,64,MolAttentiveFP_EA,5.19,15877.8,76222.0,0.208,0.001,3.732
1,64,MolAttentiveFP_EA,5.24,15991.5,76222.0,0.21,0.001,3.851
1,64,MolAttentiveFP_EA,5.19,15919.3,76222.0,0.209,0.001,5.131
1,64,MolAttentiveFP_EA,5.18,15858.0,76222.0,0.208,0.001,22.751
1,64,MolAttentiveFP_EA,5.2,15907.8,76222.0,0.209,0.001,22.783
1,64,MolAttentiveFP_EA,5.21,15935.1,76222.0,0.209,0.001,23.245
1,64,MolAttentiveFP_EA,5.21,15923.6,76222.0,0.209,0.001,3.834
1,64,MolAttentiveFP_EA,5.19,15827.1,76222.0,0.208,0.001,23.671
1,64,MolAttentiveFP_EA,5.19,15909.6,76222.0,0.209,0.001,11.094
1,128,MolAttentiveFP_EA,6.7,17484.5,38222.0,0.457,0.001,28.39
1,128,MolAttentiveFP_EA,6.73,17570.5,38222.0,0.46,0.001,24.394
1,128,MolAttentiveFP_EA,6.68,17451.7,38222.0,0.457,0.001,20.6
1,128,MolAttentiveFP_EA,6.7,17479.0,38222.0,0.457,0.001,23.951
1,128,MolAttentiveFP_EA,6.76,17664.3,38222.0,0.462,0.001,24.393
1,128,MolAttentiveFP_EA,6.69,17463.1,38222.0,0.457,0.001,24.8
1,128,MolAttentiveFP_EA,6.69,17454.2,38222.0,0.457,0.001,22.907
1,128,MolAttentiveFP_EA,6.67,17401.8,38222.0,0.455,0.001,17.142
1,128,MolAttentiveFP_EA,6.7,17483.8,38222.0,0.457,0.001,23.64
1,128,MolAttentiveFP_EA,6.69,17466.3,38222.0,0.457,0.001,24.163
1,256,MolAttentiveFP_EA,7.5,17946.1,19222.0,0.934,0.001,24.209
1,256,MolAttentiveFP_EA,7.48,17900.3,19222.0,0.931,0.001,20.869
1,256,MolAttentiveFP_EA,7.58,18130.3,19222.0,0.943,0.001,25.511
1,256,MolAttentiveFP_EA,7.5,17960.1,19222.0,0.934,0.001,26.481
1,256,MolAttentiveFP_EA,7.47,17877.6,19222.0,0.93,0.001,18.498
1,256,MolAttentiveFP_EA,7.59,18197.8,19222.0,0.947,0.001,25.034
1,256,MolAttentiveFP_EA,7.58,18152.8,19222.0,0.944,0.001,25.828
1,256,MolAttentiveFP_EA,7.62,18258.7,19222.0,0.95,0.001,32.529
1,256,MolAttentiveFP_EA,7.58,18162.5,19222.0,0.945,0.001,24.931
1,256,MolAttentiveFP_EA,7.54,18048.4,19222.0,0.939,0.001,26.479
2,64,MolAttentiveFP_EA,2.055,6434.315,76196.0,0.084,0.001,13.303
2,64,MolAttentiveFP_EA,2.0,6526.47,76196.0,0.086,0.001,4.375
2,64,MolAttentiveFP_EA,2.055,6538.115,76196.0,0.086,0.001,3.722
2,64,MolAttentiveFP_EA,1.985,6510.76,76196.0,0.085,0.001,4.412
2,64,MolAttentiveFP_EA,2.0,6357.39,76196.0,0.083,0.001,11.804
2,64,MolAttentiveFP_EA,1.98,6365.915,76196.0,0.084,0.001,3.225
2,64,MolAttentiveFP_EA,1.955,6544.365,76196.0,0.086,0.001,3.995
2,64,MolAttentiveFP_EA,2.055,6551.575,76196.0,0.086,0.001,3.86
2,64,MolAttentiveFP_EA,2.065,6445.005,76196.0,0.085,0.001,2.603
2,64,MolAttentiveFP_EA,2.01,6542.44,76196.0,0.086,0.001,3.348
2,128,MolAttentiveFP_EA,3.65,7723.125,38196.0,0.202,0.001,26.347
2,128,MolAttentiveFP_EA,3.55,7587.56,38196.0,0.199,0.001,22.57
2,128,MolAttentiveFP_EA,3.54,7629.655,38196.0,0.2,0.001,24.546
2,128,MolAttentiveFP_EA,3.725,8002.265,38196.0,0.21,0.001,15.664
2,128,MolAttentiveFP_EA,3.525,7373.75,38196.0,0.193,0.001,21.019
2,128,MolAttentiveFP_EA,3.57,7826.955,38196.0,0.205,0.001,28.951
2,128,MolAttentiveFP_EA,3.57,7726.64,38196.0,0.202,0.001,16.999
2,128,MolAttentiveFP_EA,3.735,8092.475,38196.0,0.212,0.001,22.184
2,128,MolAttentiveFP_EA,3.655,7971.86,38196.0,0.209,0.001,20.43
2,128,MolAttentiveFP_EA,3.49,7414.795,38196.0,0.194,0.001,18.602
2,256,MolAttentiveFP_EA,5.735,9085.22,19196.0,0.473,0.001,27.976
2,256,MolAttentiveFP_EA,5.55,9041.4,19196.0,0.471,0.001,24.335
2,256,MolAttentiveFP_EA,5.485,8441.53,19196.0,0.44,0.001,22.467
2,256,MolAttentiveFP_EA,5.605,8851.1,19196.0,0.461,0.001,30.014
2,256,MolAttentiveFP_EA,5.78,9160.42,19196.0,0.477,0.001,27.916
2,256,MolAttentiveFP_EA,5.89,9125.73,19196.0,0.475,0.001,28.185
2,256,MolAttentiveFP_EA,5.785,9178.825,19196.0,0.478,0.001,31.814
2,256,MolAttentiveFP_EA,5.61,8826.055,19196.0,0.46,0.001,20.288
2,256,MolAttentiveFP_EA,5.71,9063.855,19196.0,0.472,0.001,18.758
2,256,MolAttentiveFP_EA,5.605,8589.55,19196.0,0.447,0.001,34.597
2,512,MolAttentiveFP_EA,7.345,9497.535,9696.0,0.98,0.001,33.104
2,512,MolAttentiveFP_EA,7.78,10042.795,9696.0,1.036,0.001,17.874
2,512,MolAttentiveFP_EA,7.915,10142.745,9696.0,1.046,0.001,22.094
2,512,MolAttentiveFP_EA,7.31,9361.56,9696.0,0.966,0.001,33.073
2,512,MolAttentiveFP_EA,7.465,9663.47,9696.0,0.997,0.001,25.864
2,512,MolAttentiveFP_EA,6.845,8645.19,9696.0,0.892,0.001,23.983
2,512,MolAttentiveFP_EA,7.97,10394.84,9696.0,1.072,0.001,40.051
2,512,MolAttentiveFP_EA,7.85,10168.245,9696.0,1.049,0.001,35.968
2,512,MolAttentiveFP_EA,7.205,9199.52,9696.0,0.949,0.001,29.264
2,512,MolAttentiveFP_EA,6.85,8620.74,9696.0,0.889,0.001,23.32
4,64,MolAttentiveFP_EA,0.683,2731.263,76228.0,0.036,0.001,1.561
4,64,MolAttentiveFP_EA,0.697,2740.932,76228.0,0.036,0.001,0.268
4,64,MolAttentiveFP_EA,0.695,2737.178,76228.0,0.036,0.001,0.88
4,64,MolAttentiveFP_EA,0.725,2833.598,76228.0,0.037,0.001,1.196
4,64,MolAttentiveFP_EA,0.712,2795.71,76228.0,0.037,0.001,1.539
4,64,MolAttentiveFP_EA,0.692,2700.062,76228.0,0.035,0.001,0.951
4,64,MolAttentiveFP_EA,0.705,2824.712,76228.0,0.037,0.001,0.241
4,64,MolAttentiveFP_EA,0.665,2689.255,76228.0,0.035,0.001,17.477
4,64,MolAttentiveFP_EA,0.705,2662.925,76228.0,0.035,0.001,0.927
4,64,MolAttentiveFP_EA,0.708,2785.28,76228.0,0.037,0.001,0.245
4,128,MolAttentiveFP_EA,1.512,3360.388,38228.0,0.088,0.001,7.717
4,128,MolAttentiveFP_EA,1.498,3438.615,38228.0,0.09,0.001,12.467
4,128,MolAttentiveFP_EA,1.62,3486.3,38228.0,0.091,0.001,10.305
4,128,MolAttentiveFP_EA,1.608,3468.052,38228.0,0.091,0.001,4.914
4,128,MolAttentiveFP_EA,1.558,3335.7,38228.0,0.087,0.001,4.085
4,128,MolAttentiveFP_EA,1.615,3521.78,38228.0,0.092,0.001,12.453
4,128,MolAttentiveFP_EA,1.568,3499.308,38228.0,0.092,0.001,11.658
4,128,MolAttentiveFP_EA,1.565,3490.268,38228.0,0.091,0.001,2.881
4,128,MolAttentiveFP_EA,1.595,3419.217,38228.0,0.089,0.001,7.998
4,128,MolAttentiveFP_EA,1.547,3426.33,38228.0,0.09,0.001,2.442
4,256,MolAttentiveFP_EA,3.172,4261.997,19228.0,0.222,0.001,23.043
4,256,MolAttentiveFP_EA,3.17,4236.97,19228.0,0.22,0.001,15.717
4,256,MolAttentiveFP_EA,2.89,4021.57,19228.0,0.209,0.001,9.048
4,256,MolAttentiveFP_EA,3.068,4134.75,19228.0,0.215,0.001,18.408
4,256,MolAttentiveFP_EA,2.965,3978.982,19228.0,0.207,0.001,17.664
4,256,MolAttentiveFP_EA,2.99,4087.068,19228.0,0.213,0.001,14.801
4,256,MolAttentiveFP_EA,3.015,4112.948,19228.0,0.214,0.001,22.216
4,256,MolAttentiveFP_EA,3.102,4269.495,19228.0,0.222,0.001,23.997
4,256,MolAttentiveFP_EA,3.07,4201.192,19228.0,0.218,0.001,13.475
4,256,MolAttentiveFP_EA,2.96,4024.615,19228.0,0.209,0.001,8.74
4,512,MolAttentiveFP_EA,5.18,4740.02,9728.0,0.487,0.001,28.968
4,512,MolAttentiveFP_EA,5.092,4502.218,9728.0,0.463,0.001,23.25
4,512,MolAttentiveFP_EA,5.22,4857.108,9728.0,0.499,0.001,26.693
4,512,MolAttentiveFP_EA,5.015,4284.368,9728.0,0.44,0.001,13.306
4,512,MolAttentiveFP_EA,5.373,4872.565,9728.0,0.501,0.001,27.235
4,512,MolAttentiveFP_EA,4.982,4509.61,9728.0,0.464,0.001,19.937
4,512,MolAttentiveFP_EA,4.935,4631.955,9728.0,0.476,0.001,27.483
4,512,MolAttentiveFP_EA,5.072,4643.05,9728.0,0.477,0.001,25.564
