NB_GPUs,GBS,Model,Time(%),Time(ms),Calls,Avg(ms),Min(ms),Max(ms)
1,64,MolGCN,1.28,2032.36,685241.0,0.003,0.003,0.023
1,64,MolGCN,1.28,2035.01,685241.0,0.003,0.003,0.017
1,64,MolGCN,1.28,2029.32,685241.0,0.003,0.003,0.017
1,64,MolGCN,1.28,2036.92,685241.0,0.003,0.003,0.017
1,64,MolGCN,1.28,2032.67,685241.0,0.003,0.003,0.029
1,64,MolGCN,1.28,2028.5,685241.0,0.003,0.003,0.017
1,64,MolGCN,1.29,2036.06,685241.0,0.003,0.003,0.017
1,64,MolGCN,1.28,2030.66,685241.0,0.003,0.003,0.017
1,64,MolGCN,1.28,2028.65,685241.0,0.003,0.003,0.017
1,64,MolGCN,1.28,2013.46,685241.0,0.003,0.003,0.017
1,128,MolGCN,0.7,915.08,343241.0,0.003,0.002,0.017
1,128,MolGCN,0.7,914.81,343241.0,0.003,0.002,0.017
1,128,MolGCN,0.7,914.42,343241.0,0.003,0.002,0.017
1,128,MolGCN,0.7,912.44,343241.0,0.003,0.002,0.017
1,128,MolGCN,0.7,914.43,343241.0,0.003,0.002,0.017
1,128,MolGCN,0.7,914.75,343241.0,0.003,0.002,0.017
1,128,MolGCN,0.7,915.38,343241.0,0.003,0.002,0.02
1,128,MolGCN,0.7,914.1,343241.0,0.003,0.002,0.017
1,128,MolGCN,0.7,912.34,343241.0,0.003,0.002,0.017
1,128,MolGCN,0.7,914.55,343241.0,0.003,0.002,0.016
1,256,MolGCN,0.38,460.31,172241.0,0.003,0.002,0.016
1,256,MolGCN,0.38,458.69,172241.0,0.003,0.002,0.017
1,256,MolGCN,0.38,457.48,172241.0,0.003,0.002,0.016
1,256,MolGCN,0.38,459.38,172241.0,0.003,0.002,0.017
1,256,MolGCN,0.38,458.83,172241.0,0.003,0.002,0.017
1,256,MolGCN,0.38,460.93,172241.0,0.003,0.002,0.018
1,256,MolGCN,0.38,459.1,172241.0,0.003,0.002,0.017
1,256,MolGCN,0.38,458.64,172241.0,0.003,0.002,0.017
1,256,MolGCN,0.38,459.47,172241.0,0.003,0.002,0.016
1,256,MolGCN,0.38,457.63,172241.0,0.003,0.002,0.017
2,64,MolGCN,1.015,1764.675,685240.0,0.003,0.002,0.03
2,64,MolGCN,1.01,1762.01,685240.0,0.003,0.002,0.029
2,64,MolGCN,0.98,1756.805,685240.0,0.003,0.002,0.029
2,64,MolGCN,0.975,1761.165,685240.0,0.003,0.002,0.029
2,64,MolGCN,0.965,1759.67,685240.0,0.003,0.002,0.026
2,64,MolGCN,0.95,1762.535,685240.0,0.003,0.002,0.019
2,64,MolGCN,0.995,1765.145,685240.0,0.003,0.002,0.023
2,64,MolGCN,1.0,1764.545,685240.0,0.003,0.002,0.03
2,64,MolGCN,1.005,1761.445,685240.0,0.003,0.002,0.025
2,64,MolGCN,0.96,1755.66,685240.0,0.003,0.002,0.023
2,128,MolGCN,0.74,885.665,343240.0,0.003,0.002,0.018
